name,link,new_price,old_price,reviews,characteristics
Ноутбук ASUS Vivobook 15 X1504VA-BQ003,https://rozetka.com.ua/ua/asus-90nb10j1-m00030/p372823491/,28999,31999,6,"(90NB10J1-M00030) Quiet Blue / 15.6"" IPS Full HD / Intel Core i5-1335U / RAM 16 ГБ / SSD 512 ГБ"
Ноутбук Acer Aspire 3 A315-35-C654,https://rozetka.com.ua/ua/acer_nx_a6leu_01a/p282334828/,10999,13999,46,(NX.A6LEU.01A) Pure Silver / Intel Celeron N4500 / RAM 4 ГБ / SSD 128 ГБ
Ноутбук HP Laptop 15s-eq2003ua,https://rozetka.com.ua/ua/hp_422f0ea/p298117523/,16999,19999,5,(422F0EA) Natural Silver / AMD Ryzen 3 5300U / RAM 8 ГБ / SSD 256 ГБ
Ноутбук ASUS ROG Strix G15 G513IC-HN002,https://rozetka.com.ua/ua/asus-90nr0502-m008d0/p368680098/,36999,43999,11,"(90NR0502-M008D0) Eclipse Gray / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 7 4800H / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050"
Ноутбук Acer Aspire 3 A315-24P-R3E5,https://rozetka.com.ua/ua/acer-nxkdeeu00q/p384040191/,19999,21999,,(NX.KDEEU.00Q) Pure Silver / AMD Ryzen 5 7520U / RAM 8 ГБ / SSD 512 ГБ
Ноутбук HP 250 G8,https://rozetka.com.ua/ua/hp-3v5f9ea/p366147747/,11499,13655,,(3V5F9EA) Dark Ash Silver / Intel Celeron N4020 / RAM 8 ГБ / SSD 256 ГБ
Ноутбук Lenovo IdeaPad Gaming 3 15ACH6,https://rozetka.com.ua/ua/lenovo-82k201kbra/p334704841/,32499,34999,1,(82K201KBRA) Shadow Black / AMD Ryzen 7 5800H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650
Ноутбук ASUS TUF Gaming F15 FX506H-HN011,https://rozetka.com.ua/ua/asus-90nr0704-m00aa0/p386994180/,32999,36999,1,"(90NR0704-M00AA0) Graphite Black / 15.6"" IPS Full HD 144 Гц / Intel Core i5-11400H / RAM 8 ГБ / SSD 512 ГБ / nVi"
Ноутбук Dell Inspiron 5510,https://rozetka.com.ua/ua/dell-i5558s3niw-90s/p380668899/,24999,29999,,(I5558S3NIW-90S) Silver / Intel Core i5-11300H / RAM 8 ГБ / SSD 512 ГБ / Windows 11 Home
Ноутбук HP Laptop 17-cp0044ua,https://rozetka.com.ua/ua/hp-6b4a6ea/p372870540/,15999,18999,9,(6B4A6EA) Natural Silver / AMD Athlon 3150U / RAM 8 ГБ / SSD 256 ГБ
Ноутбук Lenovo V15 G2 ALC,https://rozetka.com.ua/ua/lenovo-82kd002rra/p361043535/,18999,20999,,(82KD002RRA) Black / AMD Ryzen 5 5500U / RAM 8 ГБ / SSD 256 ГБ
Ноутбук ASUS Vivobook 15X OLED X1503ZA-L1316,https://rozetka.com.ua/ua/asus-90nb0wy1-m00ta0/p380667921/,25999,,10,"(90NB0WY1-M00TA0) Quiet Blue / 15.6"" OLED Full HD / Intel Core i5-12500H / RAM 8 ГБ / SSD 512 ГБ"
Ноутбук Dell Inspiron 3525,https://rozetka.com.ua/ua/dell-i35716s3niw-25b/p384979461/,28888,30999,4,(I35716S3NIW-25B) Silver / AMD Ryzen 7 5700U / RAM 16 ГБ / SSD 512 ГБ / Windows 11 Home
Ноутбук HP Victus 15-fb0007ua,https://rozetka.com.ua/ua/hp-6g6w5ea/p388208910/,38999,41999,,"(6G6W5EA) Performance Blue / AMD Ryzen 5 5600H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050 Ti, 4 ГБ"
Ноутбук Lenovo Legion 5 15ARH7H,https://rozetka.com.ua/ua/lenovo-82rd00axra/p364504575/,49999,60999,1,"(82RD00AXRA) Storm Grey / 15.6"" IPS WQHD 165 Гц / AMD Ryzen 5 6600H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3060"
Ноутбук ASUS ROG Strix G17 2023 G713PV-LL068,https://rozetka.com.ua/ua/asus-90nr0c34-m006p0/p381548904/,69999,82999,1,"(90NR0C34-M006P0) Eclipse Gray / 17.3"" IPS WQHD 240 Гц / AMD Ryzen 9 7845HX / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce RTX 4060"
Ноутбук Acer Swift 1 SF114-34-C25X,https://rozetka.com.ua/ua/acer-nxa77eu00a/p377333553/,12999,16999,6,(NX.A77EU.00A) Pure Silver / Intel Celeron N4500 / RAM 4 ГБ / SSD 256 ГБ
Ноутбук HP Laptop 15s-eq2054ua,https://rozetka.com.ua/ua/hp-4a7n9ea/p313552408/,19999,22999,21,(4A7N9EA) Natural Silver / AMD Ryzen 5 5500U / RAM 8 ГБ / SSD 512 ГБ
Ноутбук ASUS TUF Gaming F17,https://rozetka.com.ua/ua/asus-90nr0gx2-m003v0/p386409048/,40999,42999,4,(2022) FX707ZC4-HX028
Ноутбук Acer Aspire 3 A315-35-P9Q4,https://rozetka.com.ua/ua/acer-nxa6leu027/p369755118/,13999,15999,9,(NX.A6LEU.027) Pure Silver / Intel Pentium Silver N6000 / RAM 4 ГБ / SSD 128 ГБ / Windows 11 Home
Ноутбук ASUS ROG Strix G17 G713RC-HX011,https://rozetka.com.ua/ua/asus-90nr08f4-m000p0/p339528712/,41999,46999,7,"(90NR08F4-M000P0) Eclipse Gray / 17.3"" IPS / AMD Ryzen 7 6800H / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050"
Ноутбук Dell Vostro 15 3501,https://rozetka.com.ua/ua/dell-dvos3501i316256we/p363131829/,19299,,1,(DVOS3501I316256WE) Black
Ноутбук HP 250 G9,https://rozetka.com.ua/ua/hp-724p8ea/p376078542/,13199,16599,,(724P8EA) Black / Intel Pentium Silver N6000 / RAM 4 ГБ / SSD 128 ГБ / Windows 11 Pro
Ноутбук ASUS TUF Gaming A15,https://rozetka.com.ua/ua/asus-90nr0e88-m004h0/p386766864/,51999,59999,27,(2023) FA507NV-LP031
Ноутбук Dell Vostro 15 3501,https://rozetka.com.ua/ua/dell-dvos3501i38256we/p363131835/,17499,,,(DVOS3501I38256WE) Black
Ноутбук Acer Aspire 3 A315-59G-74TN,https://rozetka.com.ua/ua/acer-nxk6weu009/p375930459/,35999,,1,(NX.K6WEU.009) Pure Silver
Ноутбук HP 255 G8,https://rozetka.com.ua/ua/hp-3v5h6ea/p329345866/,19255,,20,(3V5H6EA) Dark Ash Silver
Ноутбук Acer Aspire 3 A315-58-33QL,https://rozetka.com.ua/ua/acer-nxadgeu00x/p382850334/,16499,,,(NX.ADGEU.00X) Electric Blue
Ноутбук HP 250 G9,https://rozetka.com.ua/ua/hp-724p9ea/p376074519/,28455,,,(724P9EA) Gray
Ноутбук ASUS VivoBook 16 X1605ZA-MB315,https://rozetka.com.ua/ua/asus-90nb0za3-m00h50/p379866471/,22999,25999,,"(90NB0ZA3-M00H50) Indie Black / 16"" IPS WUXGA+ / Intel Core i3-1215U / RAM 16 ГБ / SSD 512 ГБ"
Ноутбук Dell Vostro 15 3520,https://rozetka.com.ua/ua/dell-n2061pvnb3520ua-w11p/p385573677/,23899,,,(N2061PVNB3520UA_W11P) Black
Ноутбук ASUS ROG Strix G16 2023 G614JV-N3106,https://rozetka.com.ua/ua/asus-90nr0c61-m00ca0/p381537750/,59999,69999,,"(90NR0C61-M00CA0) Eclipse Gray / 16"" IPS FHD+ 165 Гц / Intel Core i5-13450HX / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4060"
Ноутбук Acer Aspire 5 A515-47-R081,https://rozetka.com.ua/ua/acer-nxk82eu004/p384513474/,19499,,2,(NX.K82EU.004) Steel Gray
Ноутбук HP 250 G9,https://rozetka.com.ua/ua/hp-723r2ea/p376091670/,38399,,,(723R2EA) Gray
Ноутбук ASUS Laptop X515EA-BQ1189,https://rozetka.com.ua/ua/asus-90nb0ty1-m23270/p347052162/,15999,16999,21,(90NB0TY1-M23270) Slate Grey / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 256 ГБ
Ноутбук Dell Vostro 15 3520,https://rozetka.com.ua/ua/dell-n5315pvnb3520ua-ubu/p374482296/,30799,,,(N5315PVNB3520UA_UBU) Black
Ноутбук HP 470 G9,https://rozetka.com.ua/ua/hp-4z7d6av-v4/p381686268/,47199,,,(4Z7D6AV_V4) Silver
Ноутбук ASUS TUF Gaming F15 FX506LHB-HN324,https://rozetka.com.ua/ua/asus-90nr03u2-m008h0/p356165562/,29999,33999,57,"(90NR03U2-M008H0) Bonfire Black / 15.6"" IPS Full HD 144 Гц / Intel Core i5-10300H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650"
